day,sec,name,value
1,84140,1,776.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,1,777.00
1,84140,0,783.00
1,84140,1,777.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,0,783.00
1,84741,add,536871428
1,84741,1,777.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,1,777.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,add,536871556
1,84741,1,776.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,1,776.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,0,783.00
1,84741,1,776.00
1,84741,0,782.00
1,85342,add,536871428
1,85342,1,776.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,1,775.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,0,782.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,0,783.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,add,536871556
1,85342,1,776.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,0,783.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,0,783.00
1,85342,0,783.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,0,782.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,0,783.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,1,776.00
1,85342,0,782.00
1,85342,0,783.00
1,85342,0,782.00
1,85342,1,776.00
1,85342,0,783.00
1,85943,add,536871428
1,85943,1,776.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,0,782.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,add,536871556
1,85943,1,776.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,1,777.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,1,776.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,0,783.00
1,85943,1,776.00
1,85943,0,783.00
2,0,add,536871428
2,0,1,776.00
2,0,1,776.00
2,0,1,776.00
2,0,0,783.00
2,0,1,776.00
2,0,1,776.00
2,0,0,783.00
2,0,1,776.00
2,0,1,776.00
2,0,1,776.00
2,0,1,776.00
2,0,0,783.00
2,0,0,782.00
2,0,0,783.00
2,0,1,776.00
2,0,0,783.00
2,0,1,776.00
2,0,1,776.00
2,0,1,776.00
2,0,0,783.00
2,0,1,776.00
2,0,1,776.00
2,0,0,783.00
2,0,1,776.00
2,0,0,783.00
2,0,0,783.00
2,0,0,783.00
2,0,1,776.00
2,0,1,776.00
2,0,1,776.00
2,0,0,783.00
2,0,1,776.00
2,0,add,536871556
2,0,1,776.00
2,0,1,776.00
2,0,1,776.00
2,0,0,783.00
2,0,1,776.00
2,0,1,776.00
2,0,0,783.00
2,0,1,776.00
2,0,1,776.00
2,0,1,776.00
2,0,1,776.00
2,0,0,783.00
2,0,0,783.00
2,0,0,783.00
2,0,1,776.00
2,0,0,783.00
2,0,0,783.00
2,0,0,783.00
2,0,0,782.00
2,0,1,776.00
2,0,0,783.00
2,0,0,783.00
2,0,1,776.00
2,0,0,783.00
2,0,1,776.00
2,0,1,776.00
2,0,1,776.00
2,0,0,783.00
2,0,0,783.00
2,0,0,783.00
2,0,1,776.00
2,0,0,783.00
2,601,add,536871428
2,601,1,776.00
2,601,1,776.00
